kind	body	path	url
diffuse-map	Pallas	images/Pallas/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Pallas/diffuse.jpg
normal-map	Pallas	images/Pallas/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Pallas/normal.jpg
license	Phobos	images/Phobos/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Phobos/LICENSE-diffuse
license	Phobos	images/Phobos/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Phobos/LICENSE-normal
diffuse-map	Phobos	images/Phobos/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Phobos/diffuse.png
normal-map	Phobos	images/Phobos/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Phobos/normal.png
license	Pluto	images/Pluto/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Pluto/LICENSE-diffuse
license	Pluto	images/Pluto/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Pluto/LICENSE-normal
diffuse-map	Pluto	images/Pluto/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Pluto/diffuse.jpg
normal-map	Pluto	images/Pluto/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Pluto/normal.jpg
license	Rhea	images/Rhea/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Rhea/LICENSE-diffuse
license	Rhea	images/Rhea/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Rhea/LICENSE-normal
diffuse-map	Rhea	images/Rhea/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Rhea/diffuse.jpg
normal-map	Rhea	images/Rhea/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Rhea/normal.png
license	Saturn	images/Saturn/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Saturn/LICENSE-diffuse
license	Saturn	images/Saturn/LICENSE-rings	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Saturn/LICENSE-rings
diffuse-map	Saturn	images/Saturn/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Saturn/diffuse.png
ring-texture	Saturn	images/Saturn/rings.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Saturn/rings.png
license	Tethys	images/Tethys/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Tethys/LICENSE-diffuse
license	Tethys	images/Tethys/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Tethys/LICENSE-normal
diffuse-map	Tethys	images/Tethys/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Tethys/diffuse.png
normal-map	Tethys	images/Tethys/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Tethys/normal.png
license	Titan	images/Titan/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Titan/LICENSE-diffuse
diffuse-map	Titan	images/Titan/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Titan/diffuse.jpg
