kind	body	path	url	status	bytes
normal-map	Juno	images/Juno/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/normal.jpg	206	311430
license	Jupiter	images/Jupiter/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Jupiter/LICENSE-diffuse	206	183
diffuse-map	Jupiter	images/Jupiter/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Jupiter/diffuse.png	206	99552458
license	Makemake	images/Makemake/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/LICENSE-diffuse	206	168
license	Makemake	images/Makemake/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/LICENSE-normal	206	250
diffuse-map	Makemake	images/Makemake/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/diffuse.png	206	627943
normal-map	Makemake	images/Makemake/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/normal.png	206	1385352
license	Mars	images/Mars/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/LICENSE-diffuse	206	154
license	Mars	images/Mars/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/LICENSE-normal	206	154
diffuse-map	Mars	images/Mars/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/diffuse.png	206	48470986
normal-map	Mars	images/Mars/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/normal.png	206	5515194
license	Mercury	images/Mercury/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mercury/LICENSE-diffuse	206	244
license	Mercury	images/Mercury/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mercury/LICENSE-normal	206	240
diffuse-map	Mercury	images/Mercury/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mercury/diffuse.jpg	206	30736147
normal-map	Mercury	images/Mercury/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mercury/normal.png	206	30043853
license	Mimas	images/Mimas/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mimas/LICENSE-diffuse	206	124
license	Mimas	images/Mimas/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mimas/LICENSE-normal	206	227
diffuse-map	Mimas	images/Mimas/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mimas/diffuse.png	206	20364343
normal-map	Mimas	images/Mimas/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mimas/normal.png	206	1451574
license	Miranda	images/Miranda/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Miranda/LICENSE-diffuse	206	284
license	Miranda	images/Miranda/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Miranda/LICENSE-normal	206	288
diffuse-map	Miranda	images/Miranda/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Miranda/diffuse.jpg	206	413807
normal-map	Miranda	images/Miranda/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Miranda/normal.png	206	15925869
license	Moon	images/Moon/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Moon/LICENSE-diffuse	206	178
license	Moon	images/Moon/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Moon/LICENSE-normal	206	178
diffuse-map	Moon	images/Moon/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Moon/diffuse.jpg	206	57019689
normal-map	Moon	images/Moon/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Moon/normal.jpg	206	14631381
license	Neptune	images/Neptune/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Neptune/LICENSE-diffuse	206	230
diffuse-map	Neptune	images/Neptune/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Neptune/diffuse.jpg	206	85857
license	Oberon	images/Oberon/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Oberon/LICENSE-diffuse	206	284
license	Oberon	images/Oberon/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Oberon/LICENSE-normal	206	284
diffuse-map	Oberon	images/Oberon/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Oberon/diffuse.jpg	206	4199397
normal-map	Oberon	images/Oberon/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Oberon/normal.png	206	52140601
