# Yale Bright Star Catalog v5 / BSC5, J2000.0 equatorial coordinates.
# Runtime subset keeps stars with visual magnitude V <= 6.70.
# Source conversion: https://github.com/brettonw/YaleBrightStarCatalog
# Original catalog: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Columns: ra_deg,dec_deg,visual_magnitude,color_temperature_k
ra_deg,dec_deg,visual_magnitude,color_temperature_k
5.227083,10.976944,6.56,10000
43.587083,-64.435556,6.56,4700
79.200417,-17.141667,6.56,24000
82.357083,77.977500,6.56,8250
80.462500,-13.756111,6.56,14000
83.840833,-4.493333,6.56,28000
92.964167,21.868611,6.56,3500
96.962917,47.405278,6.56,10000
111.669583,-23.712222,6.56,9750
115.219583,-31.660833,6.56,5800
119.072083,80.265556,6.56,5200
117.438333,-20.206944,6.56,5700
123.423750,23.137778,6.56,9000
126.888750,-20.843889,6.56,9500
144.021250,-64.950556,6.56,9500
172.792500,48.789167,6.56,5100
173.930833,10.911111,6.56,9000
188.776250,18.377222,6.56,7750
192.059583,13.553056,6.56,9750
211.308333,-16.335833,6.56,9000
233.769167,1.668889,6.56,7500
254.026667,50.038889,6.56,3200
263.004583,34.270833,6.56,5500
266.147500,2.578889,6.56,10000
273.683333,29.207222,6.56,6300
278.047500,52.115556,6.56,12000
286.787917,0.641667,6.56,12000
287.401667,-36.164722,6.56,10000
303.419167,24.238889,6.56,9750
308.473333,10.059722,6.56,9500
313.593333,28.521944,6.56,26000
319.940833,-26.353056,6.56,5500
337.432917,35.725556,6.56,9500
341.682083,-46.939444,6.56,7750
347.051250,44.561667,6.56,9500
355.586667,64.515556,6.56,3200
5.802500,-31.036111,6.55,12000
26.647083,17.413056,6.55,7750
33.867917,-9.465556,6.55,10000
34.293333,23.767778,6.55,5100
39.882083,-64.281944,6.55,14000
56.833750,-29.901944,6.55,6300
66.235000,-34.757778,6.55,7200
81.304167,34.855278,6.55,4850
83.369583,42.108889,6.55,12000
88.345417,-42.921389,6.55,4550
92.196667,8.670000,6.55,12000
99.000000,4.497500,6.55,12000
102.490833,-45.450000,6.55,4250
110.320417,-8.878333,6.55,6750
113.691667,2.725000,6.55,8250
115.912917,-25.503889,6.55,9250
129.332917,-40.147500,6.55,5600
132.866250,-42.504444,6.55,9750
138.513333,71.655833,6.55,5200
154.067083,17.740278,6.55,7750
164.921250,11.705833,6.55,6750
173.541667,11.023611,6.55,9500
214.076250,-33.241389,6.55,7500
255.290000,27.196389,6.55,6750
282.690000,10.976389,6.55,4250
299.422083,-38.058333,6.55,6900
301.360000,-12.665278,6.55,9750
307.337917,20.087778,6.55,9250
310.432083,-75.350556,6.55,5500
313.783750,-1.373333,6.55,7750
332.677083,-75.880556,6.55,4700
341.205000,52.517222,6.55,4700
357.990000,77.599444,6.55,6750
11.978333,20.925278,6.54,6300
16.195000,51.010000,6.54,24000
16.595000,62.761667,6.54,8750
39.336667,39.895833,6.54,20000
64.602083,9.486667,6.54,9000
80.163750,46.963889,6.54,5800
79.826250,-18.509722,6.54,14000
84.062500,-5.648056,6.54,24000
87.641667,56.918889,6.54,9000
93.388750,-29.396111,6.54,16000
95.217917,11.756389,6.54,20000
100.070000,79.599444,6.54,9750
101.260000,-30.586111,6.54,14000
111.709167,21.535833,6.54,6600
112.982083,38.896389,6.54,9500
113.210833,22.887778,6.54,5000
115.491667,-38.528889,6.54,16000
116.269167,-37.887778,6.54,24000
123.092083,14.003889,6.54,8250
140.652917,-39.774722,6.54,4850
141.810833,-9.223611,6.54,9500
150.705417,-30.577500,6.54,4850
155.810833,5.694167,6.54,6600
166.976667,-30.174722,6.54,5800
178.773750,46.476944,6.54,9250
183.945833,-23.353611,6.54,7050
184.540000,-3.948611,6.54,7200
187.158750,26.226667,6.54,9500
196.726250,-35.861944,6.54,10000
196.542500,29.029444,6.54,9250
197.459167,62.229167,6.54,9750
214.599167,-33.220556,6.54,7500
238.236250,-65.152500,6.54,8750
258.056667,-25.254722,6.54,10000
274.368750,-18.463333,6.54,39000
281.746250,-50.094444,6.54,7500
284.488333,77.050833,6.54,7200
288.987500,27.455556,6.54,14000
298.065000,10.351389,6.54,16000
301.797917,50.229167,6.54,9250
317.766250,36.299167,6.54,28000
317.370417,63.295556,6.54,16000
326.569167,43.060833,6.54,6000
342.384583,10.478889,6.54,7500
345.227917,38.708056,6.54,24000
358.845833,25.955000,6.54,4250
359.693750,46.413056,6.54,22000
35.777083,-37.576389,6.53,4700
59.512917,34.814444,6.53,8000
65.204167,9.225556,6.53,9000
70.076250,-58.943611,6.53,5500
83.467083,-29.848889,6.53,10000
86.950417,-72.702222,6.53,5000
105.080417,-22.119444,6.53,26000
110.712083,55.284444,6.53,12000
114.412083,-14.441111,6.53,12000
117.245417,4.332778,6.53,5800
126.573333,-39.059444,6.53,12000
126.864167,-55.011667,6.53,10000
129.521667,9.574722,6.53,9750
137.595833,-23.176667,6.53,9750
140.314167,15.371111,6.53,9750
140.712083,-9.838889,6.53,8750
143.326250,28.368056,6.53,9250
144.140417,-24.702778,6.53,7200
152.190417,-10.884722,6.53,9500
195.668333,59.716111,6.53,9250
198.149583,18.751667,6.53,5200
207.229583,-35.703889,6.53,5700
207.643750,-19.897222,6.53,5500
214.732500,54.864167,6.53,8750
241.435417,-6.291667,6.53,7200
242.873750,9.712500,6.53,7500
249.058750,52.924167,6.53,9750
260.053333,-70.045556,6.53,6000
276.670417,26.449444,6.53,24000
286.327500,-1.512778,6.53,7350
291.093333,28.087778,6.53,20000
288.782500,83.462778,6.53,9250
297.182917,35.311389,6.53,6900
298.344167,4.400556,6.53,12000
299.240417,-57.925556,6.53,4400
301.383750,-33.000000,6.53,14000
304.110417,-35.197778,6.53,7200
349.111667,61.963056,6.53,30000
355.011667,37.652500,6.53,7200
5.021667,48.865278,6.52,10000
11.562917,55.305278,6.52,9500
18.097500,-30.802222,6.52,6450
31.167083,65.103333,6.52,10000
40.010417,-30.633889,6.52,5000
76.503750,35.936389,6.52,8750
77.061667,-35.718333,6.52,4850
85.191667,-10.409444,6.52,12000
88.544583,-50.361944,6.52,5200
93.192917,-17.763056,6.52,24000
94.394583,46.424167,6.52,7500
103.165417,-42.504444,6.52,6750
113.305417,-43.086389,6.52,5200
123.191667,-29.910833,6.52,9750
143.581667,46.902222,6.52,7500
150.143333,-56.946667,6.52,5000
151.529583,-52.188056,6.52,4850
154.542917,27.415278,6.52,10000
159.007083,80.494444,6.52,5600
159.298333,-11.748611,6.52,7500
204.532917,14.301667,6.52,7750
226.786250,-71.905278,6.52,4400
234.222500,29.991111,6.52,6750
253.020417,14.974167,6.52,12000
255.793333,14.511111,6.52,5500
260.142500,-19.332778,6.52,5700
266.473750,38.881389,6.52,5000
268.979167,-18.802222,6.52,9000
271.180000,40.084167,6.52,6450
281.745833,46.315000,6.52,9500
285.927083,21.267778,6.52,7200
284.719167,69.531111,6.52,10000
289.942083,64.390833,6.52,12000
291.256667,-4.884167,6.52,7750
293.982917,50.238611,6.52,5100
312.654167,18.051389,6.52,9750
354.272500,-31.870833,6.52,4850
359.705000,32.381667,6.52,18000
37.354167,55.536389,6.51,9500
37.557500,-25.186389,6.51,7750
41.890417,-35.550833,6.51,5000
51.451667,53.921667,6.51,7750
51.289167,41.257222,6.51,10000
60.065417,-51.564722,6.51,3350
63.380417,8.890556,6.51,9500
82.950000,85.938611,6.51,8750
78.107083,-81.541667,6.51,4850
91.757917,-45.091389,6.51,4850
96.444167,2.272222,6.51,10000
96.200833,-52.806389,6.51,4250
100.132500,6.371667,6.51,14000
100.240833,-71.775556,6.51,4850
120.183750,-2.881667,6.51,26000
127.149583,-23.071667,6.51,9500
129.584583,-6.662500,6.51,9750
134.614583,35.802500,6.51,9500
138.073333,14.996111,6.51,5100
155.282500,-17.985000,6.51,7050
155.400000,-22.528333,6.51,10000
157.714167,-26.483889,6.51,6450
202.490000,6.013333,6.51,5000
205.976250,-5.498889,6.51,9750
206.794583,-62.590000,6.51,5000
208.935417,-31.285000,6.51,5200
222.384583,51.374722,6.51,6750
228.716250,68.945278,6.51,9750
234.072500,-65.613333,6.51,7050
233.586667,-5.695000,6.51,6450
234.140417,-0.561667,6.51,5200
236.553333,-28.061667,6.51,7200
259.720000,6.085278,6.51,7500
261.520417,58.651944,6.51,9000
272.992500,-28.901389,6.51,12000
274.673750,-25.604722,6.51,4850
278.636667,-24.222500,6.51,7050
281.398750,21.985000,6.51,12000
290.849167,50.271389,6.51,12000
295.054167,60.507222,6.51,8750
297.572917,7.902500,6.51,26000
298.831667,-6.734167,6.51,7200
306.135000,53.551944,6.51,12000
310.150000,-26.645000,6.51,6450
310.251667,39.082222,6.51,18000
340.927917,10.939167,6.51,5200
344.214583,11.848333,6.51,9250
347.694167,-29.525000,6.51,7350
356.201250,55.799722,6.51,5600
9.083333,27.254722,6.50,14000
34.920000,-4.345556,6.50,9250
39.252083,24.647500,6.50,6600
50.935833,-32.707222,6.50,4550
52.047917,-35.853333,6.50,9750
54.750417,20.915833,6.50,8750
70.825417,59.520833,6.50,8250
73.993333,5.399167,6.50,10000
78.380417,62.691389,6.50,8250
79.324167,53.586111,6.50,2450
84.878333,-9.706667,6.50,16000
106.465833,70.731944,6.50,5000
114.862083,-26.863056,6.50,16000
125.334167,-1.602222,6.50,9500
133.108750,-32.509167,6.50,4700
137.017083,32.540556,6.50,7200
139.982500,74.016389,6.50,5200
146.125000,18.863611,6.50,5000
155.369583,-23.710833,6.50,9250
169.016667,52.773056,6.50,6600
171.688750,3.013056,6.50,5000
179.988333,34.035000,6.50,7750
183.304167,-34.125556,6.50,2900
197.913333,-26.551667,6.50,8750
201.499583,63.261111,6.50,5400
204.210417,-34.467778,6.50,5000
206.305000,55.879444,6.50,6450
218.711250,-20.439167,6.50,9000
226.026667,5.492500,6.50,7500
231.128750,37.347778,6.50,5900
231.920000,62.275556,6.50,8750
234.666667,-8.794444,6.50,6600
243.188750,26.670833,6.50,7050
247.624583,-7.515000,6.50,8250
270.115417,19.505833,6.50,14000
270.811250,19.613056,6.50,10000
277.239167,-26.581667,6.50,9250
277.673333,20.815278,6.50,5200
284.687917,19.794167,6.50,16000
294.235833,38.383889,6.50,20000
295.117917,20.476667,6.50,30000
298.162500,-54.976667,6.50,9500
304.983750,46.837500,6.50,14000
311.305000,-27.247222,6.50,5200
315.748333,-0.924722,6.50,18000
322.265833,-31.238611,6.50,10000
345.143333,45.375000,6.50,9250
345.682500,55.236389,6.50,12000
349.760000,45.137222,6.50,8750
3.980000,-75.911389,6.49,5200
10.119167,-16.516944,6.49,5500
20.645000,-0.449722,6.49,5000
21.443750,70.980000,6.49,10000
39.603333,-37.990556,6.49,6000
41.688333,-21.639722,6.49,7050
46.169583,15.856111,6.49,4550
52.098333,60.255556,6.49,12000
53.705000,6.417778,6.49,6000
55.307500,-11.803056,6.49,6750
56.210833,-48.061389,6.49,5200
71.501250,76.611111,6.49,6450
79.848333,33.985556,6.49,8250
78.912083,-52.181944,6.49,4700
80.800000,-26.705833,6.49,6600
84.125833,25.939444,6.49,6750
89.060000,51.803889,6.49,8750
92.347083,-49.562778,6.49,6450
105.163750,-9.203056,6.49,28000
106.457083,-10.661111,6.49,30000
116.614167,62.830556,6.49,7500
124.224167,84.057778,6.49,9250
120.649167,57.273611,6.49,6300
125.121250,53.574444,6.49,7500
128.332917,-38.371111,6.49,26000
143.799167,-35.823889,6.49,6450
154.117083,28.682500,6.49,6000
158.912083,-18.569167,6.49,8250
167.065833,-29.972778,6.49,9750
178.808750,36.756389,6.49,3050
183.005000,28.536111,6.49,6750
189.810417,-75.369444,6.49,14000
203.888750,10.204722,6.49,4850
204.165833,49.486667,6.49,4850
210.072083,-61.481389,6.49,7350
216.170417,-11.669722,6.49,6900
224.265000,21.555278,6.49,9750
239.991667,-40.652778,6.49,4850
242.358333,55.828889,6.49,5000
244.716250,-57.899722,6.49,6300
253.079583,-41.854444,6.49,7937
261.009167,38.582778,6.49,6300
266.082083,-72.220833,6.49,6450
268.326667,-65.489167,6.49,5000
272.779583,60.409444,6.49,9750
279.598750,-3.193611,6.49,6150
280.377500,-48.095000,6.49,4700
284.796250,-39.534722,6.49,10000
287.217083,-55.720278,6.49,4850
286.570833,41.413889,6.49,24000
288.433750,5.515833,6.49,9500
295.704583,29.331667,6.49,7350
298.658750,-8.237222,6.49,14000
302.792083,-8.842222,6.49,28000
308.451667,41.772222,6.49,5000
309.385833,31.521944,6.49,7500
311.577500,-36.120278,6.49,7050
325.442083,-25.101944,6.49,5000
348.942917,28.247778,6.49,5500
352.881250,-4.087222,6.49,6300
8.603750,66.750278,6.48,12000
12.515417,-43.394722,6.48,7750
32.395000,-24.345833,6.48,6900
34.215417,57.055278,6.48,28000
40.757917,48.265556,6.48,5500
67.510000,10.262500,6.48,5200
83.140833,57.221111,6.48,6300
83.364583,32.801111,6.48,9500
95.945417,-58.543889,6.48,9250
97.070000,1.912222,6.48,12000
96.781250,-37.895556,6.48,7050
103.487500,38.505000,6.48,12000
106.854167,28.177222,6.48,12000
106.649583,-12.393889,6.48,39000
129.792500,59.939444,6.48,9500
129.373750,-33.745833,6.48,7500
137.443333,11.564444,6.48,7200
137.437917,-49.424722,6.48,7750
138.405417,21.283333,6.48,9500
140.936667,-37.757222,6.48,9750
148.250000,-55.373333,6.48,28000
176.815417,-30.286944,6.48,5500
177.654583,-27.277778,6.48,5200
184.758750,26.007778,6.48,8750
200.967917,-49.823056,6.48,5200
203.311667,-77.568333,6.48,6600
204.429167,50.714722,6.48,3200
204.759583,18.265278,6.48,4550
216.448750,-26.852500,6.48,5300
218.566250,57.065278,6.48,6600
232.079583,-88.133056,6.48,8750
230.375417,-38.219167,6.48,10000
234.667083,-8.791111,6.48,6600
235.979583,-60.287222,6.48,6000
235.794167,13.667778,6.48,5500
247.203750,-8.128889,6.48,7200
263.929167,-37.440000,6.48,10000
263.428333,14.841667,6.48,2900
269.717917,45.476111,6.48,12000
278.838750,-20.840833,6.48,7500
284.227917,-62.801111,6.48,4550
287.167500,16.851389,6.48,6750
