path	bytes	sha256	url
models/shapes/dsk/HYPERION_K30_THO_V01.BDS	1838080	f992c18513717f951227c391d99a9c7e83fc54f0fd4cc6e25c4be8a3b82c275c	https://sbn.psi.edu/pds/shape-models/files/dsk/HYPERION_K30_THO_V01.BDS
models/shapes/dsk/ITOKAWA_K12_NEE_V01.BDS	675840	9f0f9de8cf125df0d9694426199aef7c6bd168346538edb2fe1d209e9922dddc	https://sbn.psi.edu/pds/shape-models/files/dsk/ITOKAWA_K12_NEE_V01.BDS
models/shapes/dsk/ITOKAWA_K50_GAS_V01.BDS	2692096	08255ca8be8d0d982afc011fab5de3e355424814847580d7c97ad255dfbd5870	https://sbn.psi.edu/pds/shape-models/files/dsk/ITOKAWA_K50_GAS_V01.BDS
models/shapes/dsk/JANUS_K30_THO_V01.BDS	1752064	524828eb1492a027aafdaca8d8cc52c22c290dd785bb67b2f6fe3a5d0ea14fd3	https://sbn.psi.edu/pds/shape-models/files/dsk/JANUS_K30_THO_V01.BDS
models/shapes/dsk/LUTETIA_K3_FAR_V01.BDS	254976	c3d9a015324411993e350aa56a1b27c4e75e23f0f6eed2899b3942d2937eb8af	https://sbn.psi.edu/pds/shape-models/files/dsk/LUTETIA_K3_FAR_V01.BDS
models/shapes/dsk/MIMAS_M3_GAS_V01.BDS	112461824	d10f691bb584a77ed80f9fdcdf40447658e650629eb3170f86335ae7fe518b12	https://sbn.psi.edu/pds/shape-models/files/dsk/MIMAS_M3_GAS_V01.BDS
models/shapes/dsk/PANDORA_K30_THO_V01.BDS	1691648	4cbc45d915f57ad12fa0d7ab02d0a32af061e937da29b72b13a2d6ac254a3349	https://sbn.psi.edu/pds/shape-models/files/dsk/PANDORA_K30_THO_V01.BDS
models/shapes/dsk/PAN_K30_THO_V01.BDS	1726464	3146e2de4bb9209c54e3950a8f9445612bd798a1fce515207d5955be402fcf6d	https://sbn.psi.edu/pds/shape-models/files/dsk/PAN_K30_THO_V01.BDS
models/shapes/dsk/PHOBOS_M3_GAS_V01.BDS	111464448	fbf67ecd969a463f336f15c5ff939b57fb9079c2c128665d80be75a870e53ab9	https://sbn.psi.edu/pds/shape-models/files/dsk/PHOBOS_M3_GAS_V01.BDS
models/shapes/dsk/PHOEBE_M3_GAS_V01.BDS	111564800	67bc15c18c4bf99200485a4795db6ec0bca511040f7620986ff78a373036f023	https://sbn.psi.edu/pds/shape-models/files/dsk/PHOEBE_M3_GAS_V01.BDS
models/shapes/dsk/TELESTO_K30_THO_V01.BDS	1841152	50f9e6e9a08e8ed5b7defaf1880a11977b037d511cc14c14667b42b0989cc12e	https://sbn.psi.edu/pds/shape-models/files/dsk/TELESTO_K30_THO_V01.BDS
models/shapes/dsk/TETHYS_M3_GAS_V01.BDS	112176128	6c250e169bb513dd1f33fb6c74bb30cbad77caec3524f3588dc13b789b558c4d	https://sbn.psi.edu/pds/shape-models/files/dsk/TETHYS_M3_GAS_V01.BDS
models/shapes/eros/ver64q.tab.obj	1622603	20198c630915d1142d8fa52778f485a55a32cfa5f8fd5339c868ec41149bd1cc	https://sbn.psi.edu/pds/shape-models/files/eros/ver64q.tab.obj
models/shapes/hartley2/hartley2_2012_cart.obj	1062351	7d04bbfc2f8aced784ab04ed32a4aa1d6f2f5c704cc09be2678ba6733c2cd256	https://sbn.psi.edu/pds/shape-models/files/hartley2/hartley2_2012_cart.obj
models/shapes/itokawa/ver64q.tab.obj	1614487	78693ab94160e93fc17110db8a97df6e0a6de854d33a12577d99035bef29a7f5	https://sbn.psi.edu/pds/shape-models/files/itokawa/ver64q.tab.obj
models/shapes/lutetia/lutetia_003k_cart.obj	92426	1a85a2a6f9f5dd259705f617636622ec04fb5f86dfe22cd0e53ba88f48d2a1e4	https://sbn.psi.edu/pds/shape-models/files/lutetia/lutetia_003k_cart.obj
