hostname,pl_name,sy_dist,ra,dec,st_mass,st_rad,st_teff,pl_orbsmax,pl_orbper,pl_orbeccen,pl_orbincl,pl_orblper,pl_bmasse,pl_rade
"Kepler-576","Kepler-576 b",617.55000000,295.1828896,38.6542028,0.990000,0.970000,5672.00,0.1790000000,29.91136794000,0.000000,89.93000,,10.70000000,3.27000000
"Kepler-1893","Kepler-1893 b",1050.72000000,298.4012866,44.8381709,0.973000,1.162000,5633.00,0.0504000000,4.17936992600,0.000000,88.44000,,3.55000000,1.70557445
"Kepler-1601","Kepler-1601 b",644.45600000,285.5129496,38.0798390,1.040000,1.070000,5869.00,0.0328100000,2.20921951000,0.000000,89.11000,,0.47700000,0.82000000
"Kepler-1922","Kepler-1922 b",1344.29000000,292.3303706,37.9970696,0.953000,0.863000,5931.00,0.1077000000,13.22259998000,0.000000,83.99000,,5.86000000,2.29064904
"HD 80653","HD 80653 b",109.86000000,140.3390845,14.3678691,1.150000,1.199000,5959.00,0.0165700000,0.71957926000,0.000000,81.70000,90.0000,5.61000000,1.62100000
"Kepler-1542","Kepler-1542 d",399.11400000,285.7284757,42.6544651,0.940000,0.990000,5564.00,0.0629000000,5.99273738000,0.000000,88.08000,,0.59000000,0.87000000
"Kepler-666","Kepler-666 b",1508.71000000,298.4568899,48.7915925,1.030000,1.050000,5887.00,0.0542000000,4.49876092000,0.000000,88.00000,,6.35000000,2.40000000
"Kepler-211","Kepler-211 c",309.35300000,285.4391183,43.1685051,0.867000,0.816000,5123.00,0.0620000000,6.04045000000,0.000000,88.58000,,18.30000000,1.29000000
"Kepler-203","Kepler-203 c",703.30200000,297.0899590,41.3880686,1.060000,1.114000,5821.00,0.0610000000,5.37064700000,0.000000,87.46000,,749.90000000,2.47000000
"GJ 674","GJ 674 b",4.54896000,262.1700476,-46.8989826,0.350000,0.364630,3600.00,0.0390000000,4.69380000000,0.200000,,143.0000,11.09000000,3.33000000
"OGLE-TR-182","OGLE-TR-182 b",2501.75000000,167.3279228,-61.0952624,1.140000,1.140000,5924.00,0.0510000000,3.97910000000,0.000000,85.70000,,320.99500000,12.66600000
"HD 69830","HD 69830 c",12.55910000,124.6010091,-12.6364246,0.860000,0.886947,5385.00,0.1860000000,31.56000000000,0.130000,,221.0000,11.80000000,3.46000000
"GJ 3021","GJ 3021 b",17.55590000,4.0634323,-79.8514218,0.900000,0.900000,5540.00,0.4900000000,133.71000000000,0.511000,,290.7000,1071.04000000,13.10000000
"HD 221287","HD 221287 b",55.92310000,352.8362230,-58.2097540,1.250000,1.138640,6304.00,1.2500000000,456.10000000000,0.080000,,98.0000,982.05000000,13.10000000
"HD 47536","HD 47536 b",122.53600000,99.4489580,-32.3394531,2.100000,23.470000,4380.00,1.9300000000,712.13000000000,0.200000,,260.8000,2330.00000000,12.60000000
"HD 107148","HD 107148 b",49.41560000,184.8059773,-3.3199927,1.120000,1.169193,5797.00,0.2690000000,48.05600000000,0.050000,,75.0000,66.74100000,9.60000000
"HD 179949","HD 179949 b",27.45730000,288.8890182,-24.1797939,1.210000,1.266865,6168.00,0.0443000000,3.09251400000,0.022000,,192.0000,291.12000000,13.90000000
"HD 188015","HD 188015 b",50.67060000,298.0191857,28.0999769,1.090000,1.125296,5746.00,1.2030000000,461.20000000000,0.137000,,222.0000,476.72000000,13.60000000
"HD 27442","HD 27442 b",18.27040000,64.1205476,-59.3028771,1.230000,3.180000,4846.00,1.2710000000,428.10000000000,0.060000,,216.0000,495.80000000,13.50000000
"HD 46375","HD 46375 b",29.55290000,98.3030763,5.4625071,0.920000,0.914196,5285.00,0.0398000000,3.02357300000,0.063000,,114.0000,71.80000000,10.00000000
"HAT-P-2","HAT-P-2 b",127.77400000,245.1514324,41.0479601,1.330000,1.390000,6380.00,0.0681400000,5.63351580000,0.517200,86.16000,188.0100,2866.81223114,10.65975900
"HD 109749","HD 109749 b",63.08210000,189.3173489,-40.8121458,1.130000,1.220000,5824.00,0.0615000000,5.23989100000,0.000000,,109.8000,85.81410000,11.10000000
"HD 149143","HD 149143 b",73.28010000,248.2126715,2.0844547,1.200000,1.440000,5856.00,0.0530000000,4.07182000000,0.016700,,217.0000,422.71390000,13.60000000
"HD 224693","HD 224693 b",93.50150000,359.9749837,-22.4279999,1.310000,1.930000,5894.00,0.1910000000,26.69040000000,0.104000,,358.0000,222.48100000,14.00000000
"HD 231701","HD 231701 b",108.87700000,293.0176220,16.4743566,1.210000,1.530000,6101.00,0.5670000000,141.63000000000,0.130000,,68.0000,359.14790000,13.70000000
